CÓDIGO;NOMBRE DEL COLOR;TIPO DE PINTURA;BASE 1;BASE 2;BASE 3;BASE 4;BASE 5;BASE 6;BASE 7;BASE 8;BASE 9;BASE 10;BASE 11;BASE 12;BASE 13;BASE 14;BASE 15;BASE 16;BASE 17
B34;MARINA BLUE PEARL_VJ;MITSUBISHI;45;25;86;19;7;5;5;0,5;;;;;;;;;
A37;LEGATO GREY MET PEARL_VJ;MITSUBISHI;60;20;2;7;57;24;15;2;;;;;;;;;
X56;MAJORCA BLACK MET_VJ;MITSUBISHI;35;106,5;22,5;14,5;7,5;7,5;4;;;;;;;;;;
1C0-2;SILVER MET 2_VJ;TOYOTA;110;40;20;13;0,5;0,5;0,3;;;;;;;;;;
209-TOY;BLACK MICA_VJ;TOYOTA;19;17;3;1,8;100;30;25;2;;;;;;;;;
314-BMW;HELLROT_VJ;BMW;80;52;40;40;10;;;;;;;;;;;;
5A7;SILKY GOLD MICA_VJ;TOYOTA;106;40;12;7;6;4,2;4;3,6;4;0,4;;;;;;;
6S3;DARK GREEN MICA MET_VJ;TOYOTA;17,5;16,2;15;3,1;43,5;33,7;28,5;18,8;5,6;5;;;;;;;
6P1;BLUISH GREEN MET_VJ;TOYOTA;18;16;20;7,2;60;51,2;8;8;5;2;4;;;;;;
8L2;DARK BLUE MICA MET_VJ;TOYOTA;25;10;5;2;75;25;25;25;;;;;;;;;
6Q3;LIGHT OLIVE MICA MET_VJ;TOYOTA;42;30;30;27;19;18,4;4,6;10;3;;;;;;;;
11A;BLANCO ARTICO_VJ;RENAULT;220;3,5;1,4;0,2;0,1;;;;;;;;;;;;
205-TOY;SATIN BLACK MET_VJ;TOYOTA;10;7;100;20;50;2;;;;;;;;;;;
P78;ROANNE RED PEARL_VJ;MITSUBISHI;20;17;10;4;105;12;10;5;5;3;;;;;;;
ZRJ;ABLAZE RED 2 PEARL_VJ;SUZUKI;51;14;25;5;20;7;3;6;1;3;5;55;;;;;
G99;FABRE GREEN MET_VJ;MITSUBISHI;42;30;20;6;28;21;15;15;9;1;;;;;;;
A15;SPARKLE RED MET_VJ;NISSAN;21;14;3,5;70;28;28;7;7;7;;;;;;;;
6J4;LIGHT GREEN MET_VJ;TOYOTA;84;35;21;14;20;8,4;7;3,5;2;1,4;;;;;;;
1D4;SILVER MET_VJ;TOYOTA;74;60;50;3;3;1;;;;;;;;;;;
6J7;GREEN MET_VJ;TOYOTA;27;27;13,5;9;44;24,3;20,7;18;1,8;;;;;;;;
8S9;LIGHT BLUE MICA MET_VJ;TOYOTA;75;50;30;20;11;1;;;;;;;;;;;
WA9075;TORCH RED_VJ;CHEVROLET;80;69;36;2,7;;;;;;;;;;;;;
3488;VRMELHO BARI_VJ;FORD;125;35;15;12;;;;;;;;;;;;;
3H7;RED_VJ;TOYOTA;91;52,2;39,7;8;0,2;;;;;;;;;;;;
E30;YELLOW PEARL MET_VJ;NISSAN;45;19;18;13,5;56;22,5;9;2,2;0,9;;;;;;;;
AR2;RED_VJ;NISSAN;82;65;22;8;3;;;;;;;;;;;;
3F4;RED_VJ;TOYOTA;88,8;33,3;29,6;27,4;7,4;4,4;0,5;;;;;;;;;;
32H;MOCHA MICA_VJ;MAZDA;35;20;15;10;75;18;10;3;1,5;;;;;;;;
91093-VL;VINTAGE BEIGE MET_VJ;VOLVO;103,5;54;4,5;13,5;4,5;4;2,3;0,9;0,4;;;;;;;;
KV1;CHARCOAL MET_VJ;NISSAN;51,3;27;21,6;14,3;54;8,1;7;4;3,5;1,9;;;;;;;
6N5;DARK GREEN MET_VJ;TOYOTA;9;6;90;30;18;13;10;10;8;;;;;;;;
ZFM;SUNLIGHT COPPER PEARL_VJ;SUZUKI;43;38;15;40;25;20;6;4;;;;;;;;;
P19;RED MET_VJ;MITSUBISHI;35;10;10;4;70;20;20;9;;;;;;;;;
4P9;GREYISH  BROW METALLIC_VJ;MITSUBISHI;60;50;23;21;13;9;3;2;;;;;;;;;
K23-2;PRATA CLASSIC_VJ (mas fino);NISSAN;80;50;45;5;5;1;1;;;;;;;;;;
PGJ;WILWOOD GREEN PEARL COAT_VJ;JEEP;58,5;19,5;15,6;14,3;45,5;17;11,7;;;;;;;;;;
4N9;BEIGE OPAL MICA MET_VJ;TOYOTA;60;30;24;20;10;13;10;3;;;;;;;;;
G25;FINESS GREEN PEARL_VJ;MITSUBISHI;26;24;96;20;6,4;6;2,2;0,4;;;;;;;;;
PVB;INDIGO BLUE PEARL_VJ;JEEP;17;4,5;60;53;35;15;11;1;;;;;;;;;
ZNW;FIRE BRICK RED MET_VJ;SUZUKI;64;9;2;5;23;11;5;17;4;50;;;;;;;
ZKY;PARADISE BLUE MET_VJ;SUZUKI;75;20;2;88;3,2;0,8;;;;;;;;;;;
T88;MOON LIGHT BLUE PEARL_VJ;MITSUBISHI;50;31,5;40;30;25;15;2;0,7;;;;;;;;;
A69;SATELLITE SILVER MET_VJ;MITSUBISHI;84;70;14;15,4;2,8;0,8;;;;;;;;;;;
H66;ARM0R CHARCOAL GREY PEARL_VJ;MITSUBISHI;25;2,3;1;50;10,5;3,3;6,3;0,3;0,2;95;;;;;;;
KAH;PINKISH SILVER PEARL MET_VJ;NISSAN;90;25;22;40;7;5;2;0,1;;;;;;;;;
AH3;BRIGHT RED PEARL_VJ;NISSAN;30;20;21;60;50;18;2;;;;;;;;;;
LS7;GREYISH PURPLE MET_VJ;NISSAN;45;35;25;10;30;17;12;11;10;4;;;;;;;
3H4;MAPLE RED MICA_VJ;TOYOTA;24,8;9,3;93;59;3;0,6;0,3;;;;;;;;;;
3Q8;DARK RED MICA_VJ;TOYOTA;59;25;5;55;31,5;15;6,5;;;;;;;;;;
3K9;LIGHT TAUPE MET_VJ;TOYOTA;62,4;57,6;48;11,5;9,6;1,9;1,2;;;;;;;;;;
CR0;BEIGE MET_VJ;NISSAN;80;60;20;18;12;1,6;0,4;;;;;;;;;;
KL1;BLUISH GREY PEARL_VJ;NISSAN;63;45;18;36;9;5,4;4,5;1,8;0,9;;;;;;;;
CAA;REDISH BEIGE MET_VJ;NISSAN;80;63;18;15;12,5;4;1;;;;;;;;;;
042-TOY;WHITE PEARL_VJ;TOYOTA;38;13,2;0,3;15,2;125,3;;;;;;;;;;;;
6M3;GREYISH GREEN MET_VJ;TOYOTA;85;20;33;25;18;18;;;;;;;;;;;
3L3;MAGENTA MICA_VJ;TOYOTA;27;18;6,3;85,5;27;15,5;4,5;2,5;;;;;;;;;
4Q2;BEIGE MICA MET_VJ;TOYOTA;42,6;36,6;66,6;21,6;11,6;5;4;1;0,5;;;;;;;;
U17;TITANIUM GREY MET_VJ;MITSUBISHI;66,5;28,5;22;23;40,7;7,6;4,7;0,9;0,9;;;;;;;;
3R3;BARCELONA RED MET-VJ;TOYOTA;50;15;10;60;52;3;;;;;;;;;;;
1D6;SILVER MET_VJ;TOYOTA;32,5;20;17,5;5;8;3;2,7;0,8;0,5;18;;;;;;;
058-TOY;WHITE_VJ;TOYOTA;230;2,3;1;0,6;;;;;;;;;;;;;
3E5-TOY;SUPER RED_VJ;TOYOTA;145;30;6;25;;;;;;;;;;;;;
1A0-1;BLUISH SILVER MET_VJ;TOYOTA;85,5;50,7;23;14,7;2,7;2,7;1,7;1;;;;;;;;;
KY0;SPORTY SILVER MET_VJ;NISSAN;64;40;40;33;6;5,8;0,7;;;;;;;;;;
6P4;GREEN OPAL MET_VJ;TOYOTA;75;16;70;22;6;2;;;;;;;;;;;
1611-VL;AZUL NAVAL SAMURAY_VJ;VOLVO;140;55;21;;;;;;;;;;;;;;
1604-VL;AZUL VOLVO_VJ;VOLVO;155;37;15;;;;;;;;;;;;;;
W32;FAIRY WHITE_VJ;MITSUBISHI;255;1,4;1;0,2;0,4;0,3;;;;;;;;;;;
91484-VL;VERDE_VJ;VOLVO;148;25;19;15;;;;;;;;;;;;;
91484-VL-2;VERDE_VJ   (mas amarillo);VOLVO;148;27;19;23;2;;;;;;;;;;;;
Z2S-APB;SILKY SILVER MET_VJ;SUZUKI;60;50;30;15;15;8;3;2,5;;;;;;;;;
K08;GOLD METALLIC_VJ;MITSUBISHI;27,5;14,3;13,2;52,8;35,2;16,5;13,2;8,8;3,3;;;;;;;;
QM1-2;ASPEN WHITE 2_VJ;NISSAN;240;0,5;0,1;0,1;;;;;;;;;;;;;
QM1-1;ASPEN WHITE_VJ;NISSAN;255,5;0,9;0,7;0,1;;;;;;;;;;;;;
1103-VL;WINTER WHITE_VJ;VOLVO;241,5;3,3;3,1;0,2;0,2;;;;;;;;;;;;
056-TOY;WHITE_VJ;TOYOTA;228,8;0,8;1;0,1;;;;;;;;;;;;;
CH 6;LIGHT SILVER MET_VJ;CHINITO;81,2;50;40;6,2;3,7;3,7;0,2;;;;;;;;;;
FW;BLUISH RED_VJ;HYUNDAI;138;33,8;23;0,6;0,6;;;;;;;;;;;;
26U-2;WHITE MÁS BLANCO;SUZUKI;230;0,6;0,2;0,3;;;;;;;;;;;;;
1F7;SILVER MET_VJ;TOYOTA;100;45;30;8;1;;;;;;;;;;;;
26U-3;WHITE   1 (mas amarillo);SUZUKI;230;0,6;0,2;0,6;;;;;;;;;;;;;
PORCHE;NARANJA PORCHE_VJ;PORCHE;50;50;40;5,4;44;;;;;;;;;;;;
587-TOY;CHAMPAGNE MICA MET;TOYOTA;75;35;24;12;23;12;3;;;;;;;;;;
FP0;BLUISH GREEN MET PEARL_VJ;NISSAN;20,8;18,2;15,6;2,6;36,4;33,8;3,9;52;;;;;;;;;
K27-1;STRUCTURAL GREY MET_VJ;NISSAN;39,1;23,4;3,4;83,7;32,3;8,5;6,4;1,2;0,5;;;;;;;;
CAE;CHOCO GLAS MET_VJ;NISSAN;99,1;20,4;17;3,4;2,5;10;10;5,4;4,2;1;30;;;;;;
98568-3;BLUE GREY_VJ;VOLVO;49,4;43,3;42,9;15;13,2;12,5;11;;;;;;;;;;
6M1;DARK GREEN MICA_VJ;TOYOTA;23,8;7,1;2,3;0,6;47,6;47,1;33,3;20,2;10;;;;;;;;
33Y;ICY BLUE MET_VJ;MAZDA;95;34;17;17;8,5;10;1,7;0,3;;;;;;;;;
049-TOY;WHITE PEARL_VJ;TOYOTA;33,6;12,6;8,4;14;1,1;126;;;;;;;;;;;
P03;DARK RED PEARL_VJ;MITSUBISHI;28,1;26,4;15,2;4,4;57,2;19,4;15,8;14;7;;;;;;;;
A66;COOL SILVER MET_VJ;MITSUBISHI;100;36,3;14,5;13,6;6,4;5,8;5,4;2,4;;;;;;;;;
Z2S-ANT;SILKY SILBER MET_VJ;SUZUKI;101,2;33,2;18,4;18,4;6,4;5,5;1,8;0,2;0,1;;;;;;;;
KX0;PLATINUM MET_VJ;NISSAN;63,8;38,3;23,3;35;17,8;4,4;2;0,4;0,2;;;;;;;;
583-TOY;CHAMPAGNE MET_VJ;TOYOTA;82,5;30;19,5;3;31,5;9;7,5;6;3;1,5;;;;;;;
Z2U;CAT'S EYE BLUE MET_VJ;SUZUKI;54;4;4;2;50;30;28;18;;;;;;;;;
D06;BLUE PEARL_VJ;MITSUBISHI;24;10;4,4;4;3,8;98;18;16;0,2;0,2;;;;;;;
B01;LAPIZ BLUE PEARL_VJ;MITSUBISHI;39,6;27;15;7,2;45;27;16,2;3,6;;;;;;;;;
FHVL-1;VERDE LIMON_VJ;VOLVO;106,8;60;29;22,5;;;;;;;;;;;;;
183-TOY;DARK BLUISH GREY MICA MET_VJ;TOYOTA;56;18;10;46;2;2;6;40;2;16;;;;;;;
ZCC;SILKY SILVER II_VJ;SUZUKI;81,5;60;8,8;18;2,6;0,1;;;;;;;;;;;
BW2;MEDIUN BLUE MET_VJ;NISSAN;89,6;21;1,4;22,4;0,4;2,8;7;47,6;;;;;;;;;
ZDK;CLEAR BEIGE MET_VJ;SUZUKI;120;10;2;1;18;8;2,5;22;;;;;;;;;
A20;STARLED RED_VJ;NISSAN;90;7;16;58;20;;;;;;;;;;;;
FHVL-6;AMARILLO VOLVO;VOLVO;68,5;24,7;52;0,6;0,4;93,3;;;;;;;;;;;
8K9;PURPLISH BLUE MICA MET;TOYOTA;56,3;21,3;16,3;29;21,3;17;10,5;3,3;6;;;;;;;;
NIS;BLUISH SILVER MET_VJ;NISSAN;70;50,4;50,4;2,2;4,2;0,5;4,2;0,2;1,6;2,5;;;;;;;
6Q7;DARK GREEN MICA_VJ;TOYOTA;42,1;4;3,4;1;40;27;4;29;6,8;5;6;20,4;;;;;
KAS;PURPLISH SILVER PEARL MET_VJ;NISSAN;100;30;13;15;10;4;4;1,5;2;;;;;;;;
TRT;TORITO WHITE_VJ;CHINITO;220;0,3;1,6;0,3;0,05;;;;;;;;;;;;
CTR-1;MARRON ROJISO _VJ;TOYOTA;370;14;4;75;;;;;;;;;;;;;
CTR-3;MARRON SOCALO_VJ;TOYOTA;54,7;2,5;12,2;24,4;58,4;62,8;;;;;;;;;;;
CTR-2;BEIGE INTERMEDIO_VJ;TOYOTA;113;70;7,2;5;6,7;;;;;;;;;;;;
Z2V;MARS GOLD MET_VJ;SUZUKI;48,1;16,9;16,9;27,3;19,5;2,6;49,4;;;;;;;;;;
QT1;BLANCO BASE P/ QT1_VJ;NISSAN;219,8;0,1;0,1;0,6;1,2;;;;;;;;;;;;
3F4-1;RED_VJ;TOYOTA;37;13,8;76,3;14,8;4,1;49,7;1;0,8;;;;;;;;;
1611-1;AZUL NAVAL _VJ;VOLVO;122,2;48,8;26,3;0,3;;;;;;;;;;;;;
KAC;GREYISH BROW MET_VJ;NISSAN;30;62,5;12,5;50;25;7,5;0,7;0,5;;;;;;;;;
FHVL-7;ROJO_VJ;VOLVO;10,6;14;87,8;20;6;0,8;2,5;75,5;;;;;;;;;
FHVL-9;AZUL OSCURO MASCARA_VJ;VOLVO;57,6;29,2;10,5;2,4;112,3;;;;;;;;;;;;
ZJP;NOCTURNE BLUE PEARL_VJ;SUZUKI;57;25;50;24;26;;;;;;;;;;;;
QX1;WHITE PEARL_VJ;NISSAN;13,2;13,2;0,7;47;113;;;;;;;;;;;;
046-TOY;OPAL WHITE PEARL_VJ;TOYOTA;27;15;20;120;;;;;;;;;;;;;
QX1-BASE;WHITE PEARL_VJ;NISSAN;221,3;1,4;1,6;0,1;0,1;0,7;0,4;;;;;;;;;;
3D;BRIGHT SILVER MET_VJ;KIA;10;164;20;0,4;;;;;;;;;;;;;
W13-BASE;BLANCO BASE_VJ;MITSUBISHI;220;3,6;2,4;0,3;0,2;;;;;;;;;;;;
W13;WHITE PEARL_VJ;MITSUBISHI;35;3;20;135;;;;;;;;;;;;;
K27;STRUCTURAL GREY PEARL 2_VJ;NISSAN;32;22;20;6;64;16;12;10;0,8;0,4;;;;;;;
A39;MEDIUM PURPLISH GREY MICA_VJ;MITSUBISHI;39,6;39,6;9;18;5,4;54;0,3;0,9;7,2;12,6;;;;;;;
369-RE;BLANC GLACIER_VJ;RENAULT;220;1,8;0,7;0,4;0,1;0,2;0,1;;;;;;;;;;
91484-3;VERDE_VJ MAS AZUL;VOLVO;142,1;36;11,6;13,4;6;;;;;;;;;;;;
QM1-3;ASPEN WHITE 3_VJ;NISSAN;240;0,5;0,1;0,05;0,05;;;;;;;;;;;;
1E9-TOY;CINZA CHUMBO;TOYOTA;65;21;10;9;10;80;20;1;4,7;;;;;;;;
1E9-2 TOY;CINZA CHUMBO MET_VJ;TOYOTA;70,2;18;4,5;7,2;4,1;58,5;27;4;0,8;0,7;;;;;;;
PORCHE;NARANJA PORCHE_VJ;PORCHE;50;50;40;5,4;44;;;;;;;;;;;;
747-TOY;DEEP TOURQUOISE MET_VJ;TOYOTA;138,6;9,8;2,8;0,7;14;8,4;21;;;;;;;;;;
DN1;GREEN PEARL_VJ;MITSUBISHI;71;14;5;2,8;0,6;27;24;45;;;;;;;;;
058-ANT;WHITE_VJ;TOYOTA;200;2,6;1,6;0,3;0,4;;;;;;;;;;;;
CN;ATLANTIC BLUE MICA_VJ;HYUNDAI;56;30,8;15,4;0,4;3,6;5,6;81,2;;;;;;;;;;
4P9;GREYISH  BROW METALLIC_VJ;MITSUBISHI;60;50;23;27;19;14;4;;;;;;;;;;
CDR-2;VERDE CLARO_VJ;NISSAN;50;7;7;1;148;;;;;;;;;;;;
3H4-SLX;MAPLE RED MICA_VJ;TOYOTA;124;46;930;295;120;46;100;5;42;400;;;;;;;
1B9;QUICK SILVER MET_VJ;TOYOTA;73,2;52,4;2,2;22;7,4;8,3;0,6;0,6;1,3;22,2;;;;;;;
3H4;MAPLE RED MICA_VJ;TOYOTA;930;105;300;86;90;1500;130;80;20;108;120;60;;;;;
1618-VL;JAIPUR BLUE_VJ;VOLVO;104;35;30;20,5;9;;;;;;;;;;;;
8K8;DARK BLUE PEARL_VJ;TOYOTA;72,8;36,4;16;10;13,6;13,6;25,5;4,5;1,3;;;;;;;;
3E5  TOY OSC;SUPER RED_VJ;TOYOTA;175;37,5;8;100;;;;;;;;;;;;;
2701-VL;SILVER_VJ;VOLVO;30;115,5;9;7,5;21;0,8;3;1,8;;;;;;;;;
3P0;SUPER RED 5_VJ;TOYOTA;167;1;6;34;;;;;;;;;;;;;
1B9-1;QUICK SILVER MET_VJ;TOYOTA;96;30;0,8;0,4;0,8;10;16;14;26;;;;;;;;
168-TOY;GREY MET_VJ;TOYOTA;30;39;18;2,6;1,3;24;30,1;6;25;;;;;;;;
26U-1;WHITE MÁS AMARILLO;SUZUKI;230;0,9;0,3;0,1;1,2;;;;;;;;;;;;
Z7T-BASE;BLANCO BASE P/ Z7T_VJ;SUZUKI;209;0,9;1,2;0,7;0,4;0,6;0,2;1;;;;;;;;;
R59;PALMA RED_VJ;MITSUBISHI;155;24;8;9;1;18;;;;;;;;;;;
ORO;DOURADO PAN DE ORO MICA MET_VJ;FARBEN;39,6;25,2;18;19,8;21,6;10,8;0,9;5,4;7,2;36;;;;;;;
K21;GREY PEARL MET_VJ;NISSAN;82;2,7;1,3;4;0,3;0,4;4,3;4,5;7,3;2,5;72,8;;;;;;
B76-1;ROUGE DE FEU NACRE MET_VJ;RENAULT;63,2;16,7;38,6;6;3;3;0,5;3;1,3;16,6;38,7;;;;;;
KR4;SILVER MET_VJ;NISSAN;76,5;55;22;1;26,6;6;2,3;0,5;1;;;;;;;;
BEG;SIGNAL RED MET-VJ;KIA RIO;63;13,5;9;4,5;9;8;85,5;;;;;;;;;;
ZHJ-BASE;BLANCO BASE P/ ZHJ_VJ;SUZUKI;329;0,5;4;0,3;0,2;0,1;0,3;3;;;;;;;;;
1A0-2;BLUISH SILVER MET_VJ;TOYOTA-NOAH;120;46;2;10;4,5;6;3,5;4;1;;;;;;;;
CAT-81;AMARILLO CATERPILLAR;CATERPILLAR;650;440;6;19;70;230;2600;;;;;;;;;;
ZMU;STAR SILVER MET_VJ;SUZUKI;60;50;70;0,8;7;;;;;;;;;;;;
B07;BLUE_VJ;DAIATSU;160;275;150;22;73;80;1060;;;;;;;;;;
GELO;BLANCO GELO_VJ;BUS FLOTA;190;5;4;1,5;1,1;4,7;;;;;;;;;;;
R54;DARK RED MICA_VJ;TOYOTA;37;11,8;0,2;16;12;26;80;5;2;;;;;;;;
6981-VW;VERDE NICE;VOLKSWAGEN;900;367;440;300;20;20;60;20;215;;;;;;;;
FHVL-10;RED;VOLVO;2000;1100;140;320;;;;;;;;;;;;;
3Q2;DARK REC MICA_VJ;TOYOTA;91;33;14;8;5;38;3;;;;;;;;;;
ZRZ;BOOTS BLUE MET_VJ;SUZUKI;5;1;12;10;2;30;32;37;1;2;;;;;;;
C41;GREYISH BROWN MET_VJ;NISSAN;75;32;12;29;47;39;8;3;34;16;40;5;3;100;;;
FT-2;BROWN MICA MET_VJ;FOTON;22,6;28;9,6;10,3;9,6;4,3;5,6;3,2;15,4;1,1;0,7;36,4;36,2;;;;
NAC-2;NEW METALLIC RED MÁS OSCURO;NISSAN;32,5;13;7,8;84,5;26;9,4;10;1,8;2;;;;;;;;
1A5;WARM GREY PEARL MET_VJ;TOYOTA;94;34;16;14;19;2;16;;;;;;;;;;
DR2;GREEN  PEARL _VJ;NISSAN;64;1;2;10;40;36;2;;;;;;;;;;
DJ3;SAGE GREEN MET _VJ;NISSAN;43,2;36;25,2;27;9;18;1,8;23,4;;;;;;;;;
K26;HIPO GREY  MET_VJ;NISSAN;20,4;1,8;11,4;27;93;12;3,6;7,2;6;9;;;;;;;
R40;RED_VJ;TOYOTA;72,5;104,4;8,7;5,5;17;;;;;;;;;;;;
UD;CLEAR WHITE_VJ;KIA;225;0,3;0,2;0,1;0,1;;;;;;;;;;;;
MARCH;ROJO PERLA_VJ;NISSAN;20;59;1,8;7,3;0,6;71,7;1;0,7;1,8;9,6;5;6;21;32,5;15;;
BUS-1;AZUL BERMEJEÑO MET_VJ;BUS FLOTA;210;80;70;2;40;;;;;;;;;;;;
3P1;RED MICA MET-VJ;TOYOTA;50;3,5;60;3;3,5;30;40;;;;;;;;;;
P85;PALMA RED_VJ;MITSUBISHI;100;7;13;67;;;;;;;;;;;;;
D14;DARK BLUE PEARL_VJ;MITSUBISHI;52;20;16;29;17;12;3;12;1;3;18;10;;;;;
8K9;PURPLISH BLUE MICA MET;TOYOTA;7;10;4;5;6;29;1;0,5;3;;;;;;;;
W19;WHITE_VJ;DAIATSU;222;0,8;0,2;0,2;0,2;;;;;;;;;;;;
ZGA;GREY MET_VJ;SUZUKI;70;36;46;42;20;35;25;3;20;100;;;;;;;
ZMT;BLANCO BASE P/ ZMT;SUZUKI;220;0,3;0,8;0,4;0,2;0,1;0,1;;;;;;;;;;
656-NIS;LIGHT GOLD PEARL MET_VJ;NISSAN;30;10;2;10;2;1;9;6;;;;;;;;;
ZYA;OXFORD BLUE MET_VJ;SUZUKI;79;28;22,5;10,8;1,8;22,5;12,6;3,6;3;1;;;;;;;
6K6;GREYISH GREEN MET_VJ;TOYOTA;7,5;37,5;3;24;15;27;34,5;19,5;3;6;;;;;;;
FHVL-11;GRIS OSCURO_;VOLVO;27;2;9;12;3;5;;;;;;;;;;;
6T3;DARK GREEN MICA_VJ;TOYOTA;50,4;14;5,6;5,6;19,6;61,6;33,6;;;;;;;;;;
AY4;RED MET_VJ;NISSAN;60;12,5;7,5;40;30;10;9,7;5;2;13,3;;;;;;;
3T6;CRIMSON APARK RED MET_VJ;TOYOTA;42,5;17,5;0,5;2,7;9;55;32,5;3,3;15;5;;;;;;;
ZQZ;BLANCO BASE P/ ZQZ;SUZUKI;222;0,4;0,6;0,1;0,1;4,1;;;;;;;;;;;
W23;OFF WHITE_VJ;DAIATSU;238,5;0,4;1,2;0,1;0,5;;;;;;;;;;;;
ZNL;BLANCO BASE P/ ZNL;SUZUKI;222;1;0,1;1,4;4;;;;;;;;;;;;
1F7;SILVER MET_VJ;TOYOTA COROLLA 2020;127,7;16;0,3;25;4;4;10;;;;;;;;;;
DW0;GREEN  PEARL _VJ;NISSAN;87;1;2;5;56;30;18;4;1;4;;;;;;;
KWH;BLANCO BASE P/ KWH;JEEP;226,5;0,9;0,2;0,3;0,4;1,5;;;;;;;;;;;
Z9T;BRIGHT RED 2_VJ;SUZUKI;153,3;12,7;11,3;2;0,6;5;13;;;;;;;;;;
ZQN;PRIME ATLANTIS TURQUOISE_VJ;SUZUKI;48;4;4;2;40;40;8;2,8;13;40;;;;;;;
FT-3;WHITE_VJ;FOTON;224;0,4;0,1;0,1;0,4;0,7;;;;;;;;;;;
CTR-5;MARRON SOCALO_VJ;TOYOTA;73,4;2,6;6;20;52;44;;;;;;;;;;;
CTR-4;MARRON SOCALO_VJ;TOYOTA;88,3;2,6;5,4;34,3;45,1;54;;;;;;;;;;;
CTR-6;BLANCO VAINILLA_VJ;TOYOTA;216,7;0,7;0,3;4,2;6,7;;;;;;;;;;;;
CTR-7;BLANCO CREMA_VJ;TOYOTA;186,1;0,6;0,2;6,6;1,5;5,5;;;;;;;;;;;
CTR-8;BLANCO ARENA CLARO_VJ;TOYOTA;186,2;0,6;2,6;8;6;10;2;;;;;;;;;;
CDR-1;WHITE CAMION_VJ;NISSAN;235;0,8;0,5;0,1;0,1;0,4;0,4;;;;;;;;;;
